"author","comment","commentsCount","pageUrl","replyCount","title","type","videoID","voteCount"
"@CharityChamunorwa-i2w","Who is this 😂😂😂😂😂😂😂😂😂😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝😝","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"1"
"@MaduwaSinera-r3f8x","😂😂😂😂 6:28 put me down right now","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"2"
"@mosesireyomi4186","This is why Denilson left Mark Angel comedy.","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@CristianoJames890","Trump 😂😂😂😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"1"
"@simmyoption9997","Who's else here 17-02-2025","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@janemusanduro6135","😂😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@FathilaNamugenyi","Trump 00000","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@RubyKessewaBrakoWiafe","Hahaha 🤣🤣🤣🤣 denilson came back from the United States ❤❤❤","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"3"
"@mgouzkilongofficial6410","Anyone watching in 2080","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@MiguelAlberto425","Me","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"1"
"@azichristian5432","Good old days","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"2"
"@repostchannel6864","Anyone watching in 2025?","7978","https://youtu.be/Z1yBM1mheU4","1","Trump (Mark Angel Comedy) (Episode 203)","comment",,"4"
"@repostchannel6864","Anyone watching in 2025?","7978","https://youtu.be/Z1yBM1mheU4","1","Trump (Mark Angel Comedy) (Episode 203)","comment",,"2"
"@repostchannel6864","Anyone watching in 2025?","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"1"
"@tash101","Who is here in 2025❤","7978","https://youtu.be/Z1yBM1mheU4","1","Trump (Mark Angel Comedy) (Episode 203)","comment",,"2"
"@Darkdgamerz","Abeg who here in 2025😂","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@ElenaRodriguez-s3d","My nigga man 😂😂😂😂😂 that was so funny","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"2"
"@ryan_12345-c","Who is in 2025?🎉🎉","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@MarteyGodwin","Who is in 2029","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
"@zawadichari8004","Who is here in 2025","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"1"
"@Your_Service2","I miss your joke!","7978","https://youtu.be/Z1yBM1mheU4","0","Trump (Mark Angel Comedy) (Episode 203)","comment",,"0"
